Name,Location,Dates,Description
Fiestas de la Mare de Déu de la Salut,Algemesí,Del 07/09/2018 al 08/09/2018,"…Algemesí. Valencia-València. (Comunidad Valenciana) Ayuntamiento de Algemesí. Fax.: +34 962019001 | E-mail: algemesi@touristinfo.net. http://www.algemesi.es. De origen medieval, las fiestas mayores de Algemesí, en honor …"
Fiesta de la Virgen de la Guía,Llanes,08/09/2018,"…33500. Llanes. Asturias. http://www.llanes.com/. La procesión nocturna con la imagen de la patrona sobresale en esta celebración. Llanes , en Asturias, conmemora en septiembre las fiestas patronales de la Virgen de la Gu…"
El Cascamorras,Baza,Del 06/09/2018 al 09/09/2018,"…Granada. (Andalucía) http://el-cascamorras.com/. La tradición enfrenta en una inofensiva batalla de pinturas al Cascamorras, un personaje que recuerda a los juglares medievales, con los habitantes de Baza y Guadix. Guadi…"
Romería de Nuestra Señora de la Barca,Muxía,09/09/2018,"…Muxia. Muxía. Coruña, A. (Galicia) Romería de Nuestra Señora de la Barca de Muxía. Alegre celebración de costumbres ancestrales. Es una de las romerías más famosas de Galicia. Se celebra desde el siglo XIV en esta locali…"
Fiestas Patronales de Segorbe,Segorbe,Del 25/08/2018 al 09/09/2018,"…Calle Marcelino Blasco, 0,. 12400. Segorbe. Castellón-Castelló. (Comunidad Valenciana) Tel.: +34 964713254 | +34 964711953 | E-mail: turismo@segorbe.es. http://www.turismo.segorbe.es/. La fiesta cuenta con un amplio prog…"
Romería de la Virgen de Gracia,SanLorenzodeElEscorial,09/09/2018,"…San Lorenzo de El Escorial. Madrid. http://www.romerosnsgracia.es. Romería de la Virgen de Gracia de San Lorenzo de El Escorial. Romería en torno a la imagen de la Virgen de Gracia con bailes típicos, carretas, actos rel…"
Feria de Valladolid,Valladolid,Del 01/09/2018 al 09/09/2018,"…Valladolid. (Castilla y León) http://www.info.valladolid.es/cultura/fiestas-y-ferias. Durante el mes de septiembre, época marcada por la recogida de la cosecha en los diferentes pueblos de Valladolid, se celebran en la c…"
Fiesta de Moros y Cristianos,Villena,Del 04/09/2108 al 09/09/2018,"…Villena. Alicante-Alacant. (Comunidad Valenciana) http://www.villenaenfiestas.com/. Su celebración se remonta a 1474 y se realiza en honor a Nuestra Señora de las Virtudes, Patrona de Villena, que libró a la ciudad de lo…"
Entrada de Toros y Caballos de Segorbe,Segorbe,Del 03/09/2018 al 09/09/2018,"…Plaza Alto Palancia, 3. Segorbe. Castellón-Castelló. (Comunidad Valenciana) Fax.: 964 713 911 | E-mail: turismo@segorbe.es. http://www.turismo.segorbe.es/. Durante las fiestas patronales de Segorbe se puede presenciar es…"
Fiestas patronales del Santísimo Cristo y San Vicente Ferrer,Graus,Del 12/09/2018 al 15/09/2018,"…Graus. Huesca. (Aragón) http://fiestasdegraus.blogspot.com.es/. Estos festejos comprenden numerosos actos de gran interés folclórico. Son las fiestas más importantes de Graus, en la provincia de Huesca. La celebración de…"
Feria de Salamanca,Salamanca,Del 07/09/2018 al 15/09/2018,"…Salamanca. (Castilla y León) http://www.salamanca.es/es/. Durante el mes de septiembre se celebran en Salamanca las Fiestas Patronales en Honor a la Virgen de la Vega. Conciertos, verbenas y otros espectáculos forman par…"
Fiestas Patronales en honor de la Virgen de Ermitana,Peníscola-Peñíscola,Del 07/09/2018 al 16/09/2018,"…Av. Espronceda, 24 A entresuelo. 12004. Peníscola-Peñíscola. Castellón-Castelló. (Comunidad Valenciana) http://www.peniscola.es/peniscola/fiestas-tradicionales/. Peñíscola rinde homenaje a su patrona con las danses, unos…"
Fiesta y Certamen de la Escanda,Grado,16/09/2018,…Grado. Asturias. Mercado temático para potenciar el cultivo y la utilización de escanda (una especie de trigo) en la gastronomía de Asturias. Tiene lugar en Grado cada segundo domingo de septiembre. El mercado ofrece la …
Fiestas de la Vendimia,JerezdelaFrontera,Del 01/09/2018 al 16/09/2018,"…Jerez de la Frontera. Cádiz. (Andalucía) http://www.jerez.es/especiales/fiestas_de_la_vendimia/. Fiestas de la Vendimia. Jerez de la Frontera celebra, en el mes de septiembre, las Fiestas de la Vendimia. Este evento coin…"
Feria de Albacete,Albacete,Del 07/09/2018 al 17/09/2018,"…Albacete. (Castilla-La Mancha) http://www.feriadealbacete.es/. Es el festejo más importante de la ciudad de Albacete. Se celebra en el mes de septiembre, durante diez días, y logra convocar a miles de personas. En su ori…"
Día de América en Asturias,Oviedo,19/09/2018,"…Oviedo. Asturias. Dentro de las populares fiestas de San Mateo de Oviedo , se celebra el desfile del Día de América en Asturias. Esta gran cabalgata surgió como un homenaje a los numerosos asturianos que emigraron a Amér…"
San Mateo,Cuenca,21/09/2018,"…Plaza Mayor, 1. 16001. Cuenca. (Castilla-La Mancha) http://sanmateo.cuenca.es/. Es una de las fiestas más importantes de Cuenca. Su origen histórico es la conquista de la ciudad por Alfonso VIII en 1177, ya que se cree q…"
Fiestas de la vendimia riojana,Logroño,Del 15/09/2018 al 22/09/2018,"…Logroño. Rioja, La. http://www.logroño.es. Logroño vive días de alegría por todo lo alto durante las Fiestas de la Vendimia Riojana, conocidas popularmente como las Fiestas de San Mateo. La ciudad se llena de colorido y …"
Fiestas de Santa Tecla,Tarragona,Del 15/09/2018 al 24/09/2018,"…Tarragona. (Cataluña) E-mail: ajuntament@tarragona.cat. http://www.tarragona.cat/cultura/festes-i-cultura-popular/santa-tecla. Fiestas de Santa Tecla.Tarragona. Gigantes, música, fuego y tradiciones populares. Esta celeb…"
Fiesta de los Santos Mártires de Valdecuna,Mieres,27/09/2018,…Mieres. Asturias. http://www.ayto-mieres.es/. La localidad de Mieres (Asturias) festeja esta tradición folklórica y religiosa en honor a San Cosme y San Damián. Cientos de romeros acuden a esta celebración que consiste e…
Procesión de El Vítor,Mayorga,27/09/2018,"…Mayorga. Valladolid. (Castilla y León) Fax.: +34 983751559 | E-mail: aytomayorga@aytomayorga.org. www.mayorga.ayuntamientosdevalladolid.es. Fuego, cantos y devoción al Santo. Cada 27 de septiembre se celebra en Mayorga l…"
Ceremonia de Las Cantaderas,León,30/09/2018,"…Av. Ordoño II nº 10. 24001. León. (Castilla y León) E-mail: atencion-ciudadano@aytoleon.es. www.leon.es. Según la tradición popular, esta fiesta conmemora la victoria cristiana en la Batalla de Clavijo y la liberación de…"
Fiestas del Pilar,Zaragoza,Del 06/10/2018 al 14/10/2018,"…Zaragoza. (Aragón) E-mail: turismo@zaragoza.es. http://www.zaragoza.es/ciudad/fiestaspilar. Zaragoza celebra, en el mes de octubre, las Fiestas del Pilar. Se trata de los festejos mayores de la capital de Aragón, y se ca…"
Semana de la Zarzuela,"Solana,La",Del 19/10/2018 al 28/10/2018,"…Solana, La. Ciudad Real. (Castilla-La Mancha) https://www.semanadelazarzuela.net/. La fiesta está dedicada por completo al género lírico español por excelencia: la zarzuela. Durante su celebración, los vecinos de la loca…"
Fiesta de la Rosa del Azafrán,Consuegra,Del 27/10/2018 al 28/10/2018,…Consuegra. Toledo. (Castilla-La Mancha) E-mail: ofturismo@aytoconsuegra.es. http://aytoconsuegra.es. En este evento se exalta la importancia del azafrán y se reivindica la cultura tradicional de Castilla-La Mancha. Consu…
Fiesta de San Martín o de los Humanitarios,Aller,11/11/2018,"…Moreda de Aller. Aller. Asturias. La localidad de Moreda (en Aller, Asturias) celebra cada 11 de noviembre una de las fiestas folclóricas más populares del otoño en Asturias. Organizada por la ""Sociedad Humanitarios de S…"
Fiesta del Orujo en Potes,Potes,Del 10/11/2018 al 11/11/2018,"…Potes. Cantabria. http://www.fiestadelorujo.es/. Es una de las fiestas más tradicionales de Potes, en Cantabria (al norte de España, en plenos Picos de Europa) y reúne cada año a miles de personas dispuestas a degustar e…"
Fiestas Patronales de la Virgen del Castillo,Yecla,Del 05/12/2018 al 08/12/2018,"…Yecla. Murcia. La fiesta data del siglo XVII, y entre sus actos sobresalen la bajada y la subida de la Virgen al Santuario. Yecla, en Murcia, celebra a principios del mes de diciembre las fiestas de la Virgen del Castill…"
Festividad de la Inmaculada Concepción,Sevilla,08/12/2018,…Sevilla. (Andalucía) La Catedral de Sevilla acoge esta celebración en la que todos los años se interpreta el tradicional baile de los seises. El día de la Inmaculada Concepción se conmemora en Sevilla con la danza de los…
El canto de la Sibila de Mallorca.,,24/12/2018,…Mallorca. (Baleares) http://www.conselldemallorca.net/. Ha sido declarado Patrimonio Cultural Inmaterial de la Humanidad por la UNESCO. Esta tradición (cuyo origen proviene de las representaciones que se desarrollaban en…
Nochevieja,Madrid,31/12/2018,"…Madrid. www.esmadrid.com. Durante la época navideña, una de las celebraciones más destacadas es la Nochevieja, una cena que se suele convertir en fiesta la última noche del año. A las doce en punto de la noche, las famil…"
Nochevieja de Pamplona,Pamplona-Iruña,31/12/2018,"…Pamplona-Iruña. Navarra. Los habitantes de Pamplona (Navarra) reciben el año nuevo disfrazándose de personajes variopintos a modo de anticipo del Carnaval. El ambiente festivo se concentra en el Casco Viejo, aunque tambi…"
Bautizo del niño de Palencia.,,01/01/2019,…Palencia. (Castilla y León) También conocida como “El bautizo” es una de las festividades con más reconocimiento de la provincia de Palencia. Se realiza en honor a la Cofradía del Dulce Nombre del Niño Jesús que se fundó…
Cabalgata de los Reyes Magos,Alcoy-Alcoi,05/01/2019,…Alcoy-Alcoi. Alicante-Alacant. (Comunidad Valenciana) Se celebra desde 1885 y se trata de la Cabalgata más antigua de España. Mayores y pequeños viven con especial emoción la Navidad y la llegada de los Reyes Magos en Al…
Auto Sacramental y Cabalgata de Reyes de Santillana del Mar,SantillanadelMar,05/01/2019,…Santillana. Santillana del Mar. Cantabria. http://turismodecantabria.com/. El municipio de Santillana del Mar celebra cada año esta fiesta en la que los ciudadanos representan distintas escenas relacionadas con el nacimi…
Fiestas de “La Vijanera”,Molledo,06/01/2019,"…Las Escuelas de Silió s/n. 39438. Silio. Molledo. Cantabria. E-mail: contacto@vijanera.com. www.vijanera.com. Cada primer domingo del año, la localidad de Silió (Molledo, Cantabria) celebra esta fiesta a modo de Carnaval…"
Misterio de Reyes,Sangüesa-Zangoza,06/01/2019,"…31400. Sangüesa-Zangoza. Navarra. E-mail: oit.sanguesa@navarra.es. La localidad de Sangüesa, en Navarra, acoge cada año esta representación del Auto Sacramental de los Reyes Magos. Es uno de los cinco existentes en Españ…"
Jarramplas,Piornal,Del 19/01/2019 al 20/01/2019,…Piornal. Cáceres. (Extremadura) E-mail: piornal@pistalocal.dip-caceres.es. http://www.piornal.es/fiestas. Fiesta popular que representa el castigo a un ladrón de ganado al que se intenta expulsar del pueblo. “Jarramplas”…
Fiesta de las Cuadrillas de Barranda,CaravacadelaCruz,Del 25/01/2019 al 27/01/2019,"…Barranda. Caravaca de la Cruz. Murcia. E-mail: info@fiestadelascuadrillas.com. http://www.fiestadelascuadrillas.com/. Barranda, en Murcia, celebra cada último domingo de enero esta fiesta, en la que diversos grupos (cuad…"
Fiesta de la Vaquilla,ColmenarViejo,02/02/2019,"…Colmenar Viejo. Madrid. http://www.colmenarviejo.com/. Colmenar Viejo, en Madrid, celebra cada 2 de febrero esta fiesta llena de color que rememora el traslado de reses. La fiesta se centra en el transporte de las vacas …"
Fiestas de moros y cristianos,Bocairent,Del 01/02/2019 al 05/02/2019,"…Bocairent. Valencia-València. (Comunidad Valenciana) E-mail: bocairent@touristinfo.net. http://www.bocairent.org/. Desfiles y mucha diversión conforman estas fiestas tan singulares. La primera semana de febrero, Bocairen…"
Javieradas,Javier,Del 04/03/2019 al 12/03/2019,"…Javier. Navarra. Fax.: +34 948884259 | E-mail: castillodejavier@jesuitas.es. www.turismo.navarra.es. Peregrinación en honor a San Francisco Javier que tiene lugar cada mes de marzo en la localidad de Javier, en Navarra. …"
Fallas de Sagunto,Sagunto-Sagunt,Del 15/03/2019 al 19/03/2019,"…Sagunto-Sagunt. Valencia-València. (Comunidad Valenciana) E-mail: sagunto@touristinfo.net. http://turismo.sagunto.es. Sagunto, en Valencia, celebra cada mes de marzo las populares fiestas de Fallas, en las que el fuego e…"
Fallas de San José,Valencia,Del 15/03/2019 al 19/03/2019,…Valencia. Valencia-València. (Comunidad Valenciana) E-mail: promocionexterior@fallas.com. http://fallas.com/. Valencia recibe la primavera con las Fallas. Durante meses preparan las monumentales y efímeras estatuas de ca…
Fallas de Alzira,Alzira,Del 16/03/2019 al 19/03/2019,"…Alzira. Valencia-València. (Comunidad Valenciana) http://www.fallasalzira.com/. Del 16 al 19 de marzo, el pueblo valenciano de Alzira celebra la fiesta de las Fallas. El fuego quema grandes monumentos alegóricos de cartó…"
Fiestas de la Magdalena,CastellóndelaPlana-CastellódelaPlana,Del 23/03/2019 al 31/03/2019,…Paseo Buenavista 28. 12100. Castellón de la Plana-Castelló de la Plana. Castellón-Castelló. (Comunidad Valenciana) E-mail: informadorturistico@castellonturismo.es. http://www.castellonturismo.com/fiestas/la-magdalena. So…
Vía Crucis de Semana Santa,Mérida,17/04/2019,…Mérida. Badajoz. (Extremadura) http://www.semanasantademerida.org/. Emocionante procesión que tiene lugar cada madrugada del miércoles santo al jueves santo en la ciudad de Mérida (Extremadura ). La celebración comienza …
Noche de los Tambores,Mula,Del 16/04/2019 al 17/04/2019,"…Mula. Murcia. http://www.murciaturistica.es/es/fiesta/la-noche-de-los-tambores-483/. En Mula, Murcia , la noche del Martes Santo el tambor es el protagonista y no descansa de sonar hasta bien entrado el Miércoles Santo. …"
Pasión Viviente de Castro Urdiales,Castro-Urdiales,19/04/2019,"…calle la Rúa, 13. 39700. Castro-Urdiales. Cantabria. http://www.pasionviviente.org. Castro Urdiales, en Cantabria, recrea cada Viernes Santo las últimas horas de vida de Jesucristo en sus calles con la participación de c…"
Picaos de San Vicente de la Sonsierra,SanVicentedelaSonsierra,Del 18/04/2019 al 19/04/2019,"…San Vicente de la Sonsierra. Rioja, La. http://www.sanvicentedelasonsierra.org/Los-Picaos.1392.0.html. El pueblo riojano de San Vicente de la Sonsierra celebra en Semana Santa la procesión de “los picaos”, una tradición …"
La Ronda y la Procesión de los Pasos,León,Del 19/04/2019 al 20/04/2019,…Av. Ordoño II nº 10. 24001. León. (Castilla y León) E-mail: atencion.ciudadano@aytoleon.es. http://www.aytoleon.es/es/ciudad/tradiciones/Paginas/SemanaSanta.aspx. Se trata de la procesión del Viernes Santo y de la ceremo…
Tamborada,Hellín,Del 17/04/2109 al 21/04/2019,"…02400. Hellín. Albacete. (Castilla-La Mancha) Fax.: +34 967305560 | E-mail: asociacion@tamborada.com. http://www.tamborada.com/. El momento cumbre de la Semana Santa de Hellín, en Albacete, es la Tamborada. Se trata de l…"
Semana Santa de Mérida,Mérida,Del 14/04/2019 al 21/04/2019,…Mérida. Badajoz. (Extremadura) http://www.semanasantademerida.org/. Los monumentos romanos de Mérida se convierten en uno de los mayores atractivos durante las procesiones de Semana Santa. La popular procesión de “la bor…
Semana Santa de Tobarra,Tobarra,Del 14/04/2019 al 21/04/2019,"…Tobarra. Albacete. (Castilla-La Mancha) http://www.turismocastillalamancha.es/fiestas/semana-santa-de-tobarra-6277/. La Semana Santa de Tobarra, en Albacete, se caracteriza por el constante sonido del tambor, que irrumpe…"
Semana Santa de Cáceres,Cáceres,Del 14/04/2019 al 21/04/2019,…Cáceres. (Extremadura) http://turismoextremadura.com/viajar/turismo/es/explora/Semana-Santa-en-Caceres/. Sobriedad y fervor religioso en un conjunto monumental declarado Patrimonio Mundial por la UNESCO. Cáceres celebra …
Semana Santa de Badajoz,Badajoz,Del 14/04/2019 al 21/04/2019,…Badajoz. (Extremadura) http://www.aytobadajoz.es/es/ayto/ferias-y-fiestas/semana-santa. Se trata de una celebración de gran arraigo en Badajoz y de masiva participación. La mayor parte de las cofradías actuales de esta c…
Ruta de la Pasión Calatrava.,Ciudad Real,Del 14/04/2019 al 21/04/2019,"…Ciudad Real. (Castilla-La Mancha) http://www.rutapasioncalatrava.es/. Con motivo de la celebración de la fiesta de la Semana Santa se trata de un recorrido por los municipios de Aldea del Rey, Almagro, Bolaños, Granátula…"
Semana Santa de Ciudad Real,Ciudad Real,Del 14/04/2019 al 21/04/2019,"…Calle Caballeros, 7. 13001. Ciudad Real. (Castilla-La Mancha) E-mail: asociacion@ciudadrealcofrade.es. http://www.ciudadrealcofrade.es/. Participativa, austera y de gran belleza plástica. La Semana Santa de Ciudad Real t…"
Semana Santa de Jerez de los Caballeros,JerezdelosCaballeros,Del 14/04/2019 al 21/04/2019,…Jerez de los Caballeros. Badajoz. (Extremadura) http://www.turismoextremadura.com. Una popular celebración que recrea cada año la pasión y muerte de Jesucristo en uno de los conjuntos monumentales más atractivos de Extre…
Semana Santa de Orihuela,Orihuela,Del 14/04/2019 al 21/04/2019,"…Orihuela. Alicante-Alacant. (Comunidad Valenciana) E-mail: juntamayor@semanasantaorihuela.com. http://www.semanasantaorihuela.com/. Espectacular, participativa y de una riqueza artística extraordinaria, gracias a algunas…"
Semana Santa de Crevillent,Crevillent,Del 14/04/2019 al 21/04/2019,"…03330. Crevillente. Crevillent. Alicante-Alacant. (Comunidad Valenciana) E-mail: info@semanasantacrevillent.com. http://semanasantacrevillent.es/. La Semana Santa de Crevillent, en Alicante, es una fusión de arte, devoci…"
Semana Santa de Cuenca,Cuenca,Del 14/04/2019 al 21/04/2019,"…Cuenca. (Castilla-La Mancha) E-mail: buzon@juntacofradiascuenca.es. http://www.juntacofradiascuenca.es. La Semana Santa es uno de los festejos más vistosos y emotivos. La singular estructura urbana de Cuenca, con sus cue…"
Semana Santa de Alcalá de Henares,AlcaládeHenares,Del 14/04/2019 al 21/04/2019,…Antiguo Hospital de Santa María la Rica Calle Santa María la Rica nº 3. Alcalá de Henares. Madrid. E-mail: cturismo@ayto-alcaladehenares.es. http://www.turismoalcala.es. La Ciudad Patrimonio de la Humanidad de Alcalá de …
Semana Santa de Cartagena,Cartagena,Del 14/04/2019 al 21/04/2019,…Cartagena. Murcia. http://semanasanta.cartagena.es. La Semana Santa de esta ciudad sobresale por los magníficos adornos florales de las imágenes religiosas. En Cartagena destaca la “rivalidad” entre las dos principales c…
Semana Santa de Lorca,Lorca,Del 14/04/2019 al 21/04/2019,"…Lorca. Murcia. http://semanasantalorca.com/. Lo que destaca de esta Semana Santa es la fastuosidad. También se conoce esta fiesta como ""Blancos y Azules"". Aunque hay más cofradías en Lorca estas dos son las más important…"
Semana Santa de Murcia,Murcia,Del 14/04/2019 al 21/04/2019,"…Murcia. E-mail: portal@regiondemurcia.com. http://www.regmurcia.com/servlet/s.Sl?sit=c,386,m,1287. Semana Santa de Murcia. La Semana Santa barroca. En esta Semana Santa son característicos los nazarenos (penitentes) que …"
Semana Santa de Toledo,Toledo,Del 14/04/2019 al 21/04/2019,…Toledo. (Castilla-La Mancha) E-mail: info@semanasantatoledo.com. http://www.semanasantatoledo.com/. Destaca la habilidad que muestran los cofrades a la hora de trasladar las imágenes por las estrechas calles de la ciudad…
Semana Santa de Jumilla,Jumilla,Del 14/04/2019 al 21/04/2019,"…Jumilla. Murcia. E-mail: info@semanasanta-jumilla.es. http://semanasanta-jumilla.es/. La Semana Santa de Jumilla, en Murcia, cuenta con casi seis siglos de antigüedad. Es la fiesta más importante de todas las que se cele…"
Semana Santa de Cieza,Cieza,Del 14/04/2019 al 21/04/2019,"…Cieza. Murcia. E-mail: jhp@semanasantadecieza.es. http://www.semanasantadecieza.es/. Con más de 450 años de antigüedad, esta fiesta religiosa de la Región de Murcia destaca por el colorido de las túnicas de sus 18 Cofrad…"
Semana Santa de Ocaña,Ocaña,Del 14/04/2019 al 21/04/2019,"…Ocaña. Toledo. (Castilla-La Mancha) E-mail: turismo@aytoocana.com. http://www.ocana.es. La Semana Santa de Ocaña, en Toledo, recorre las calles del pueblo desde hace 400 años. Sus procesiones destacan por el orden y el s…"
Semana Santa de Sagunto,Sagunto-Sagunt,Del 14/04/2019 al 21/04/2019,"…Sagunto-Sagunt. Valencia-València. (Comunidad Valenciana) E-mail: lasang@semanasantasagunto.com. http://www.semanasantasagunto.com/. El momento cumbre de la Semana Santa de Sagunto, en Valencia, es el Viernes Santo, con …"
Semana Santa Marinera de Valencia,Valencia,Del 14/04/2019 al 21/04/2019,…Valencia. Valencia-València. (Comunidad Valenciana) E-mail: secgral@jmssm.org. http://www.semanasantamarinera.org/. La ciudad de Valencia celebra en sus barrios marítimos esta festividad religiosa de gran tradición que t…
Semana Santa de Alzira,Alzira,Del 14/04/2019 al 21/04/2019,"…Alzira. Valencia-València. (Comunidad Valenciana) E-mail: JHHCC@semanasanta-alzira.com. http://www.semanasanta-alzira.com/. Desde el siglo XVI, Alzira, en Valencia, celebra su Semana Santa, una fiesta de gran tradición p…"
Semana Santa de Granada,Granada,Del 14/04/2019 al 21/04/2019,"…Granada. (Andalucía) http://www.granadatur.com/semana-santa. Escenarios monumentales para una celebración irrepetible llena de sabor. Son muchos los momentos inolvidables de la Semana Santa de Granada, en la que particip…"
Semana Santa de León,León,Del 14/04/2019 al 21/04/2019,"…Pza. Mayor, nº 1, 2º. 24003. León. (Castilla y León) E-mail: juntamayor.leon@gmail.com. http://www.semanasantaleon.org/. Durante esta celebración desfilan por la ciudad las extraordinarias imágenes creadas, hace siglos, …"
Semana Santa de Palencia,Palencia,Del 14/04/2019 al 21/04/2019,"…Palencia. (Castilla y León) http://www.palenciaturismo.es/portada. Desde el siglo XV, Palencia celebra sus fiestas de Semana Santa, caracterizadas por la fe, el silencio y el fervor religioso que se manifiesta durante es…"
Semana Santa Calagurritana,Calahorra,Del 14/04/2019 al 21/04/2019,"…Calahorra. Rioja, La. E-mail: info@semanasantacalahorra.es. http://semanasantacalahorra.es/ . Calahorra, en La Rioja, conmemora de un modo muy especial la pasión y muerte de Jesucristo, con la recreación de la época roma…"
Semana Santa de Viveiro,Viveiro,Del 14/04/2019 al 21/04/2019,…Viveiró. Viveiro. Lugo. (Galicia) http://www.turgalicia.es. Una emocionada representación de la muerte de Cristo. La Semana Santa de Viveiro tiene varios momentos significativos que hacen que el paso de las procesiones p…
Semana Santa de Riogordo,Riogordo,Del 14/04/2019 al 21/04/2019,…Plaza de la Constitución nº 14. 29180. Riogordo. Málaga. (Andalucía) Fax.: +34 952732380 | E-mail: info@riogordo.es. http://www.riogordo.es/es/index.html. Semana Santa de Riogordo (Málaga). La representación de la muerte…
Semana Santa de Logroño,Logroño,Del 14/04/2019 al 21/04/2019,"…Logroño. Rioja, La. www.xn--hermandadcofradiaslogroo-nlc.com/index.html. Al son de las trompetas y coincidiendo con la llegada de la primavera, Logroño se viste de largo para celebrar la Semana Santa, una de las fiestas …"
Semana Santa de Ponferrada,Ponferrada,Del 14/04/2019 al 21/04/2019,"…Ponferrada. León. (Castilla y León) www.ponferrada.org. Además de la devoción propia de la Semana Santa, las procesiones de Ponferrada tienen algo especial: el “lambrión chupacandiles”. Se trata de un cofrade (devoto) ve…"
Semana Santa de Cabra,Cabra,Del 14/04/2019 al 21/04/2019,"…Cabra. Córdoba. (Andalucía) www.turismodecabra.es/tradiciones/fiestas/semana-santa/. La Semana Santa de Cabra, en Córdoba, sobresale por la gran participación popular, que se vuelca con estos festejos, y por la riqueza a…"
Semana Santa de Jerez de la Frontera,JerezdelaFrontera,Del 14/04/2019 al 21/04/2019,"…Jerez de la Frontera. Cádiz. (Andalucía) http://www.jerez.es/especiales/la_semana_santa/. Durante esta celebración, las hermandades recorren el casco antiguo de Jerez de la Frontera en un impresionante alarde de arte y s…"
Semana Santa de Burgos,Burgos,Del 14/04/2019 al 21/04/2019,"…Burgos. (Castilla y León) http://semanasantaburgos.com/. Tiene su origen en las representaciones litúrgicas que, al menos desde el siglo XIII, cobran importancia en Castilla. De hecho, la mayor parte de las cofradías que…"
Semana Santa de Ávila,Ávila,Del 14/04/2019 al 21/04/2019,"…Ávila. (Castilla y León) http://www.avilaturismo.com. La Semana Santa de Ávila se celebra desde el siglo XVI. De entre sus numerosos actos sobresale la procesión del Miserere el Martes Santo, cuando se entona este canto …"
Semana Santa de Ferrol,Ferrol,Del 14/04/2019 al 21/04/2019,"…Ferrol. Coruña, A. (Galicia) E-mail: info@semanasantaferrol.org. http://www.semanasantaferrol.org/. Semana Santa de Ferrol. Procesiones con espíritu marinero. La Semana Santa de Ferrol es una de las más espléndidas del n…"
Semana Santa de Baena,Baena,Del 14/04/2019 al 21/04/2019,"…Baena. Córdoba. (Andalucía) http://www.baena.es/semana-santa-de-baena. Semana Santa de Baena (Córdoba). Religión, colorido y tambores. La Semana Santa de Baena es la fiesta más destacada de esta localidad cordobesa. Aunq…"
Semana Santa de Córdoba,Córdoba,Del 14/04/2019 al 21/04/2019,…Córdoba. (Andalucía) http://www.turismodecordoba.org/seccion/semana-santa-de-cordoba. Pasión y recogimiento en un centro histórico declarado Patrimonio Mundial por la UNESCO. La ciudad de Córdoba celebra esta fiesta con …
Semana Santa de Barbastro,Barbastro,Del 14/04/2019 al 21/04/2019,"…Barbastro. Huesca. (Aragón) http://www.semanasantabarbastro.org. La localidad de Barbastro, en Huesca, recrea cada año la pasión y muerte de Jesucristo con 12 desfiles religiosos por sus calles. La Semana Santa de Barbas…"
Semana Santa de Málaga,Málaga,Del 14/04/2019 al 21/04/2019,"…Paseo Antonio Machado nº 12, 5ª Planta, torre B. 29061. Málaga. (Andalucía) E-mail: info@malagaturismo.com. http://www.malagaturismo.com/. Uno de los momentos más bellos se produce durante el Viernes Santo en la Plaza de…"
Semana Santa de Salamanca,Salamanca,Del 14/04/2019 al 21/04/2019,…Salamanca. (Castilla y León) E-mail: info@ssantasalamanca.com. Los Oficios en la Universidad el Jueves Santo y el Descendimiento de Cristo son dos de los actos más destacados en esta celebración. La Semana Santa de Salam…
Semana Santa de Albalate del Arzobispo,AlbalatedelArzobispo,Del 14/04/2019 al 21/04/2019,"…Albalate del Arzobispo. Teruel. (Aragón) E-mail: ayuntamiento@albalatedelarzobispo.com. http://www.rutadeltamborybombo.com/. Albalate del Arzobispo, en Teruel, es uno de los nueve pueblos que forman parte de la Ruta del …"
Semana Santa de Teruel,Teruel,Del 14/04/2019 al 21/04/2019,"…Teruel. (Aragón) E-mail: turismo@teruel.net. http://www.rutadeltamborybombo.com/. Teruel , en Aragón, vive una Semana Santa intensa en la que no faltan los sonidos de tambores y bombos. Imágenes, hábitos y cofradías llen…"
Semana Santa de Urrea de Gaén,UrreadeGaén,Del 14/04/2019 al 21/04/2019,"…Urrea de Gaen. Urrea de Gaén. Teruel. (Aragón) E-mail: ayuntamiento@urreadegaen.com. http://www.rutadeltamborybombo.com/. Urrea de Gaén, en Teruel, es uno de los nueve pueblos que forman parte de la Ruta del Tambor y el …"
Semana Santa de Medina de Rioseco,MedinadeRioseco,Del 14/04/2019 al 21/04/2019,…Medina de Rioseco. Valladolid. (Castilla y León) Fax.: +34 983720383 | E-mail: turismo@medinaderioseco.com. http://www.medinaderioseco.com/semanasanta/. Esta conmemoración se celebra en esta localidad de Valladolid desde…
Semana Santa de Samper de Calanda,SamperdeCalanda,Del 14/04/2019 al 21/04/2019,"…Samper de Calanda. Teruel. (Aragón) Fax.: +34 978822428 | E-mail: aytosampercalanda@aragon.es. http://www.rutadeltamborybombo.com/. Samper de Calanda, en Teruel, es uno de los nueve pueblos que forman parte de la Ruta de…"
Semana Santa de Andorra,Andorra,Del 14/04/2019 al 21/04/2019,"…Andorra. Teruel. (Aragón) E-mail: turismo@culturandorra.com. http://www.rutadeltamborybombo.com/. Andorra, en Teruel, es uno de los nueve pueblos que forman parte de la Ruta del Tambor y el Bombo. Durante los días de Sem…"
Semana Santa de Calanda,Calanda,Del 14/04/2019 al 21/04/2019,"…Calanda. Teruel. (Aragón) E-mail: coordinadorasemanasantacalanda@gmail.com. http://www.semanasantaencalanda.com/. Calanda, en Teruel, es uno de los nueve pueblos que forman parte de la Ruta del Tambor y el Bombo. Durante…"
